draw_index,source_hbm_draw_index,logic_package_equivalents,customer_allocated_hbm_stacks,hbm_package_equivalents,package_assembly_start_capacity,package_attempts,package_assembly_yield,finished_accelerator_packages,complete_system_equivalents
80,14408,371669.69279263593,2564347.8325437526,320543.4790679691,434831.28828380216,320543.4790679691,0.9379377054442926,300649.81525214156,4175.691878501966
81,9406,556733.0252989882,2254167.829561622,281770.97869520274,381717.1442619014,281770.97869520274,0.9141843381243558,257590.6156611259,3577.6474397378597
82,11871,323544.8800108009,2447815.832109575,305976.9790136969,489801.96397860465,305976.9790136969,0.9591467886190164,293476.83681233553,4076.0671779491045
83,572,384408.7630586234,2223072.7168156183,277884.0896019523,479170.34601491154,277884.0896019523,0.9554638881230606,265508.2126986183,3687.6140652585873
84,12301,382484.69456203206,2020433.2892621444,252554.16115776805,391045.5994215971,252554.16115776805,0.9183561500967834,231934.66713177046,3221.3148212745896
85,3940,490630.95913491613,2723055.2143385233,340381.9017923154,436856.05759919353,340381.9017923154,0.9388432098098868,319565.2372398911,4438.406072776265
86,12492,423619.4842635889,2675876.4121534345,334484.5515191793,424361.5517739142,334484.5515191793,0.9332554969357685,312159.54634536937,4335.549254796797
87,10855,293508.58229531045,1818708.4082895669,227338.55103619586,421090.39978631906,227338.55103619586,0.9317925932939692,211832.37802571032,2942.116361468199
88,1442,441096.2145551743,2469017.7630828083,308627.22038535104,434567.2065475713,308627.22038535104,0.9378196045015269,289436.6577601955,4019.953580002715
89,5384,541248.0936076613,2294974.8678220166,286871.8584777521,471749.02685065643,286871.8584777521,0.9528930677527258,273358.20527679095,3796.64173995543
90,2470,263573.81094423664,1947767.0719493534,243470.88399366918,427587.67500901816,243470.88399366918,0.9346982631072652,227571.81238607306,3160.719616473237
91,17205,330230.3637107033,1846425.8940945938,230803.23676182423,471046.3469972573,230803.23676182423,0.9526496523112173,219874.62325345541,3053.8142118535475
92,2511,436305.55713718693,2352477.1150516863,294059.6393814608,456393.0999817456,294059.6393814608,0.9474083289496108,278594.55155791494,3869.3687716377076
93,4648,560625.7481255559,2123939.6847462617,265492.4605932827,435778.9358106873,265492.4605932827,0.9383615063020575,249127.9052341524,3460.1097949187833
94,19297,472190.9750560571,1981621.7633865015,247702.72042331268,469860.06737118657,247702.72042331268,0.9522387129943496,235872.11970109446,3276.0016625152007
95,10738,501323.81861407176,2587333.5470279,323416.6933784875,474439.3556269538,323416.6933784875,0.9538250249786481,308482.9356402476,4284.4852172256615
96,951,408705.1441761367,1911128.049860387,238891.0062325484,448549.9925252574,238891.0062325484,0.9440728964937143,225530.5242002599,3132.3683916702767
97,3251,402672.4358077683,2329248.3521284773,291156.04401605966,481879.30868420075,291156.04401605966,0.9564023003188639,278462.31024869985,3867.532086787498
98,4437,352657.8087489334,1974251.3365257066,246781.41706571332,423870.6108867453,246781.41706571332,0.9330359414964396,230255.93181573338,3197.999052996297
99,16812,459195.81365896406,1904974.0491080694,238121.75613850867,385360.62969766685,238121.75613850867,0.9158137543462361,218075.17948072654,3028.821937232313
100,5849,263430.1375404892,2057662.8903059568,257207.8612882446,504528.65193167713,257207.8612882446,0.9642482629714032,248012.2334697795,3444.6143537469375
101,4120,341629.1329945248,2309842.1797349253,288730.27246686566,499508.02707951306,288730.27246686566,0.9625090675054649,277905.50531268166,3859.7986848983564
102,1744,483389.24620725296,2410845.627474566,301355.70343432075,514376.8778457655,301355.70343432075,0.9676597885009267,291609.7962488028,4050.13605901115
103,1962,437579.24693884165,2787444.7974777217,348430.5996847152,424130.84442730306,348430.5996847152,0.9331523214737822,325138.8229682941,4515.816985670751
104,2700,452434.3587807067,2247675.484232939,280959.43552911736,416511.2474641105,280959.43552911736,0.9297447341196123,261220.5556844156,3628.063273394661
105,6935,402905.65235615213,2393673.4186438755,299209.17733048444,475951.28624501656,299209.17733048444,0.9543487731082488,285549.9112880763,3965.970990112171
106,15163,369735.55749946705,2711878.8282871274,338984.8535358909,460575.28448345757,338984.8535358909,0.9489963677322829,321695.3947218204,4467.991593358617
107,12671,390717.03799220786,1864770.369373799,233096.29617172488,510266.94137260475,233096.29617172488,0.9662360647434477,225226.04791924063,3128.1395544338975
108,16617,500870.44208715827,1908167.0077442285,238520.87596802856,458964.33462282876,238520.87596802856,0.9483993959246099,226213.05468348708,3141.8479817150983
109,1077,476985.8795501514,2179226.6043148935,272403.3255393617,422370.0333067253,272403.3255393617,0.9323648628015524,253979.28924319358,3527.4901283776885
110,2858,345806.14981907746,2018394.587653126,252299.32345664076,458692.9374948108,252299.32345664076,0.9482970399438174,239254.70161376017,3322.98196685778
111,248,301242.01204059017,2240767.819229774,280095.9774037218,384658.46535167645,280095.9774037218,0.915499736904434,256427.79362109757,3561.497133626355
112,11882,296974.7099263674,2112506.3623598525,264063.29529498157,465409.1292325886,264063.29529498157,0.9506968627948701,251044.14641621435,3486.724255780755
113,15627,364086.70940052124,2279550.85142786,284943.8564284825,528053.5460613663,284943.8564284825,0.9723975253464633,277078.70085373434,3848.315289635199
114,17129,328143.9090554923,2447511.589161841,305938.94864523015,496693.1733675439,305938.94864523015,0.9615339735764641,294170.69296265393,4085.704068925749
115,1242,337850.04120990395,2278068.6839579823,284758.5854947478,493181.4002604211,284758.5854947478,0.9603174596872259,273458.6414464439,3798.0366867561656
116,13995,418799.3469047063,2251201.1833676645,281400.14792095806,457075.6925196937,281400.14792095806,0.9476761430472421,266676.20683465694,3703.836206036902
117,14438,476429.9005497608,2102132.7017374546,262766.5877171818,400016.21218483715,262766.5877171818,0.9223679300844698,242367.4736080563,3366.214911223004
118,15290,484031.6387695107,2238129.2432180936,279766.1554022617,392941.17393883097,279766.1554022617,0.9192038767921737,257162.1346410007,3571.6963144583433
119,2830,441703.9313337453,2364071.152365853,295508.89404573163,467514.71395510796,295508.89404573163,0.9514262587386789,281154.9214859351,3904.929465082432
120,17926,446962.1755512859,2521858.25496494,315232.2818706175,488043.89805031137,315232.2818706175,0.9585377767168444,302162.0506136393,4196.695147411657
121,14715,363204.3855318929,1968743.2055945913,246092.90069932392,378272.3009759232,246092.90069932392,0.9126437573724996,224595.1495569284,3119.377077179561
122,15863,317484.63552240375,2174784.8405104624,271848.1050638078,423872.3706789884,271848.1050638078,0.9330367284994561,253644.26659751165,3522.8370360765507
123,4210,381196.43151702924,2210657.9234952023,276332.2404369003,403491.6041495918,276332.2404369003,0.9239221726207995,255309.48394963404,3545.9650548560285
124,4702,443322.54794370325,2201405.839936654,275175.72999208176,442232.43824836577,275175.72999208176,0.9412476003307795,259008.49552431746,3597.3402156155203
125,16741,379795.38723606267,2257776.8068906926,282222.10086133657,421876.1811496075,282222.10086133657,0.9321440054027222,263071.63951005734,3653.772770973019
126,19165,353519.7661309228,2181752.884803107,272719.1106003884,520552.1144100539,272719.1106003884,0.9697989531965475,264482.7079769501,3673.370944124307
127,5994,430726.3417330716,2396332.8170495303,299541.6021311913,405029.76935134624,299541.6021311913,0.924610061011149,276959.1790218981,3846.655264193029
128,5762,380654.2292070421,2090725.8962460542,261340.73703075678,400095.62991984136,261340.73703075678,0.9224034467752875,241061.59661996408,3348.0777308328343
129,14885,429812.87279418693,2149208.9167673644,268651.11459592055,440216.734978362,268651.11459592055,0.9403461504239401,252625.04141737468,3508.6811307968705
130,10218,438039.53754816245,2229301.902313872,278662.737789234,423228.1376478904,278662.737789234,0.9327486187292788,259922.2837642272,3610.0317189476
131,2325,438715.4487935004,2193451.394510716,274181.4243138395,368150.03986129933,274181.4243138395,0.9081169445848393,248988.7973098033,3458.1777404139348
132,15745,420708.1127866162,2635131.872829444,329391.4841036805,513441.80322887504,329391.4841036805,0.9673358691518622,318632.1975666556,4425.447188425772
133,3649,438075.62611215096,1854511.4837291087,231813.9354661386,472464.5322126482,231813.9354661386,0.9531409260807373,220951.3491286156,3068.7687378974388
134,1876,504190.47941301676,2574879.1617057147,321859.89521321433,493872.2872306836,321859.89521321433,0.9605567899541823,309164.7077609946,4293.954274458259
135,410,566762.6851612944,1889808.9998420149,236226.12498025186,429077.30534312944,236226.12498025186,0.935364446044949,220957.51853349817,3068.8544240763636
136,6806,438142.81680484896,2129194.8747377954,266149.35934222443,445612.0679120703,266149.35934222443,0.9427590166641431,250914.70829926716,3484.9265041564886
137,7994,453641.47332950006,2668035.6514877416,333504.4564359677,412821.6488861442,333504.4564359677,0.9280946954736085,309523.71693503077,4298.940512986538
138,4357,367192.6995089792,2004469.3144353002,250558.66430441252,459267.94854380796,250558.66430441252,0.9485132865069992,237658.22214218226,3300.8086408636427
139,18530,287636.41393309715,2215666.6188576636,276958.32735720795,454300.55532123405,276958.32735720795,0.9465652580539952,262159.1306050784,3641.099036181645
140,10591,334638.9761099579,1827115.2007865747,228389.40009832184,368503.31515168486,228389.40009832184,0.9082749340976538,207440.36732290595,2881.116212818138
141,2867,432466.0610421716,2362594.6307226513,295324.3288403314,484765.69501668273,295324.3288403314,0.9574021738744901,282744.1544297581,3927.0021448577513
142,15884,512206.70401712175,2247880.1325846645,280985.01657308306,443651.73753532924,280985.01657308306,0.941882330267993,264654.8221802461,3675.761419170085
143,8342,369465.7444724479,2236612.2501599863,279576.5312699983,406460.5280015776,279576.5312699983,0.9252499157314116,258678.16199804627,3592.752249972865
144,17969,416314.6618544155,2113017.9216686394,264127.2402085799,449856.9702282315,264127.2402085799,0.9446573946914997,249509.75060249303,3465.413202812403
145,15862,391617.4927094693,2485282.5030373884,310660.31287967355,464080.0384660987,310660.31287967355,0.9502364522477839,295200.75356496754,4100.010466180105
146,1586,480502.3915735223,2199755.492778665,274969.4365973331,478311.48525239516,274969.4365973331,0.9551663700275995,262641.55862320884,3647.799425322345
147,17355,399985.8779016245,2477217.2652933523,309652.15816166904,424391.41932822013,309652.15816166904,0.9332688541121184,288988.7148208853,4013.732150290073
148,17405,296904.80005781417,2493418.203689768,311677.275461221,467515.04232593876,296904.80005781417,0.9514263724896715,282483.05689377734,3923.375790191352
149,13616,459298.8788453568,2486169.381610208,310771.172701276,388629.3992176139,310771.172701276,0.9172755925161123,285062.81157649006,3959.2057163401396
150,233,474543.00297709653,2554896.1484614625,319362.0185576828,417070.809704129,319362.0185576828,0.929994977960877,297005.07341009344,4125.070464029075
151,893,296110.27451662894,2498826.9078494105,312353.3634811763,432473.15254364384,296110.27451662894,0.9368831150812594,277420.7163967062,3853.065505509808
152,11091,353770.0920807894,2385576.0392039577,298197.0049004947,497406.2871054185,298197.0049004947,0.9617810034215789,286800.21459050727,3983.3363137570454
153,12344,287022.0920436665,2015704.6718390696,251963.0839798837,428658.64651342906,251963.0839798837,0.9351772161244308,235630.13544243382,3272.640770033803
154,1416,495983.3914864583,2040800.0718863278,255100.00898579098,399174.4167320841,255100.00898579098,0.9219914677133686,235200.03169850295,3266.667106923652
155,19833,346952.8938137604,2127903.6207486424,265987.9525935803,473358.39799824567,265987.9525935803,0.9534505702718977,253606.36508580364,3522.3106261917173
156,1359,439017.0036536817,2225113.761546868,278139.2201933585,424413.22281820927,278139.2201933585,0.9332786049292708,259581.38339817288,3605.29699164129
157,1524,487910.71847900114,2292645.6640942283,286580.70801177854,431155.5944158505,286580.70801177854,0.9362938851736488,268323.7645201631,3726.7189516689323
158,17942,494247.4850418621,2337953.765368586,292244.22067107324,449250.56242563843,292244.22067107324,0.9443862008777628,275991.4092880374,3833.2140178894083
159,5334,474548.0856635685,2098567.2729516467,262320.90911895584,502826.5629444398,262320.90911895584,0.9636586420504235,252787.81106300553,3510.9418203195214
160,455,287594.515322978,2275794.3592362804,284474.29490453505,485336.1949732519,284474.29490453505,0.9575998008565889,272412.5281494013,3783.5073354083515
161,5797,315954.1859610747,2355030.950052049,294378.8687565061,540656.5106394736,294378.8687565061,0.9767633203415178,287538.4812849848,3993.590017847011
162,4093,405193.3830804891,2135011.652831536,266876.456603942,454630.61026913946,266876.456603942,0.9467004914371642,252652.07261996088,3509.0565641661233
163,13012,334409.933345746,1985541.9252994854,248192.74066243568,422726.46304236446,248192.74066243568,0.9325242630251707,231445.75257443514,3214.524341311599
164,17503,416740.5229492925,2157346.9296032437,269668.36620040546,477132.76098839287,269668.36620040546,0.9547580479649262,257468.04291139002,3575.9450404359723
165,14794,409732.5540861184,2802532.4803813924,350316.56004767405,508975.057249057,350316.56004767405,0.9657885429555524,338331.7201016444,4699.051668078395
166,313,442774.81648397015,2725110.686815637,340638.83585195465,454075.54033078434,340638.83585195465,0.9464725683326606,322405.31384264707,4477.851581147876
167,13214,408233.3634692248,2793656.2908501374,349207.03635626717,467274.8635049289,349207.03635626717,0.9513431721054932,332215.7296887295,4614.10735678791
